Comment,Designator,Footprint,LCSC
FerriteBead_Small,"FB1,FB2",L_0805_2012Metric,C1017
220u,"L1,L2",ind_SWRB1207S-221MT,C169380
1.5nF,"C12,C24",C_0805_2012Metric,C1717
100,"R16,R9",R_0805_2012Metric,C17408
11k,R8,R_0805_2012Metric,C17429
15k,"R17,R6",R_0805_2012Metric,C17475
1k,"R7,R10,R15",R_0805_2012Metric,C17513
180,R5,R_0805_2012Metric,C25270
1,"R1,R11,R12,R13,R14,R2,R3,R4",R_0805_2012Metric,C25271
MC34063AD,"U1,U3",SOIC-8_3.9x4.9mm_P1.27mm,C32078
10u,"C10,C11,C14,C16,C17,C19,C2,C20,C21,C23,C3,C4,C6,C8",C_0805_2012Metric,C440198
100n,"C1,C13,C15,C18,C22,C5,C7,C9",C_0805_2012Metric,C49678
D_Schottky_Small,"D1,D2,D3,D4,D5,D6",D_SOD-123,C8598
LM317_TO-252,U2,TO-252-2,C75510
MC7915,U4,TO-263-2,C153065
