Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,100n,C_0805_2012Metric,107.188,-62.992,-90,top
C2,10u,C_0805_2012Metric,105.156,-62.992,-90,top
C3,10u,C_0805_2012Metric,103.124,-62.992,-90,top
C4,10u,C_0805_2012Metric,101.092,-62.992,-90,top
C5,100n,C_0805_2012Metric,117.856,-74.422,90,top
C6,10u,C_0805_2012Metric,115.57,-74.422,90,top
C7,100n,C_0805_2012Metric,124.46,-66.802,-90,top
C8,10u,C_0805_2012Metric,122.428,-66.802,90,top
C9,100n,C_0805_2012Metric,140.208,-69.342,90,top
C10,10u,C_0805_2012Metric,138.176,-65.786,-90,top
C11,10u,C_0805_2012Metric,138.176,-69.342,90,top
C12,1.5nF,C_0805_2012Metric,117.094,-66.548,-90,top
C13,100n,C_0805_2012Metric,130.556,-88.9,0,top
C14,10u,C_0805_2012Metric,130.556,-90.932,180,top
C15,100n,C_0805_2012Metric,136.906,-79.502,90,top
C16,10u,C_0805_2012Metric,139.065,-79.502,90,top
C17,10u,C_0805_2012Metric,141.224,-79.502,90,top
C18,100n,C_0805_2012Metric,99.568,-87.884,-90,top
C19,10u,C_0805_2012Metric,97.536,-87.884,-90,top
C20,10u,C_0805_2012Metric,95.504,-87.884,-90,top
C21,10u,C_0805_2012Metric,93.472,-87.884,-90,top
C22,100n,C_0805_2012Metric,113.538,-86.9935,-90,top
C23,10u,C_0805_2012Metric,116.078,-86.9935,-90,top
C24,1.5nF,C_0805_2012Metric,109.22,-89.7875,-90,top
D1,D_Schottky_Small,D_SOD-123,134.62,-73.406,0,top
D2,D_Schottky_Small,D_SOD-123,116.332,-71.374,180,top
D3,D_Schottky_Small,D_SOD-123,124.46,-73.66,180,top
D4,D_Schottky_Small,D_SOD-123,143.764,-80.264,90,top
D5,D_Schottky_Small,D_SOD-123,114.046,-90.0415,0,top
D6,D_Schottky_Small,D_SOD-123,129.54,-75.184,180,top
FB1,FerriteBead_Small,L_0805_2012Metric,122.682,-71.374,0,top
FB2,FerriteBead_Small,L_0805_2012Metric,120.142,-90.17,0,top
J1,Barrel_Jack_Switch,BarrelJack_GCT_DCJ200-10-A_Horizontal,104.394,-100.315,-90,top
L1,220u,ind_SWRB1207S-221MT,101.9825,-76.962,0,top
L2,220u,ind_SWRB1207S-221MT,114.808,-93.218,-90,top
R1,1,R_0805_2012Metric,107.188,-66.548,-90,top
R2,1,R_0805_2012Metric,105.156,-66.548,-90,top
R3,1,R_0805_2012Metric,103.124,-66.548,-90,top
R4,1,R_0805_2012Metric,101.092,-66.548,-90,top
R5,180,R_0805_2012Metric,106.426,-69.342,180,top
R6,15k,R_0805_2012Metric,119.888,-70.358,-90,top
R7,1k,R_0805_2012Metric,129.286,-64.008,0,top
R8,11k,R_0805_2012Metric,125.476,-64.008,0,top
R9,100,R_0805_2012Metric,120.396,-66.802,-90,top
R10,1k,R_0805_2012Metric,120.396,-62.484,-90,top
R11,1,R_0805_2012Metric,99.568,-92.0735,-90,top
R12,1,R_0805_2012Metric,97.536,-92.0735,-90,top
R13,1,R_0805_2012Metric,95.504,-92.0735,-90,top
R14,1,R_0805_2012Metric,93.472,-92.0735,-90,top
R15,1k,R_0805_2012Metric,123.19,-92.71,0,top
R16,100,R_0805_2012Metric,123.19,-94.869,180,top
R17,15k,R_0805_2012Metric,123.19,-97.028,180,top
U1,MC34063AD,SOIC-8_3.9x4.9mm_P1.27mm,112.014,-67.056,180,top
U2,LM317_TO-252,TO-252-2,131.064,-68.58,0,top
U3,MC34063AD,SOIC-8_3.9x4.9mm_P1.27mm,104.394,-91.8195,180,top
U4,MC7915,TO-263-2,127.581,-82.042,180,top
